2024-04-30 00:22:31.1346|0|TRACE|Goods.System.Social.Network.DomainServices.Interface.ReactionPostService|Вызван метод GetAllByEntityAsync с параметрами: postId: 3, number: 0 |url: http://localhost/reactionpost/all|action: GetAllByPost
2024-04-30 00:24:12.7133|0|TRACE|Goods.System.Social.Network.DomainServices.Interface.ReactionPostService|Вызван метод CreateAsync с параметрами: reactionPostViewModel: DomainModel.Entities.ViewModels.ReactionEntityViewModel |url: http://localhost/reactionpost|action: Create
2024-04-30 00:24:12.7133|0|TRACE|Goods.System.Social.Network.DAL.Repository.Realization.ReactionRepository|Вызван метод Create с параметрами: reaction: Goods.System.Social.Network.DomainModel.Entities.Reaction |url: http://localhost/reactionpost|action: Create
2024-04-30 00:24:12.8995|0|TRACE|Goods.System.Social.Network.DAL.Repository.Realization.ReactionRepository|Вызван метод GetAsync с параметрами: userId: 5, typeId: 1 |url: http://localhost/reactionpost|action: Create
2024-04-30 00:26:29.9619|0|TRACE|Goods.System.Social.Network.DomainServices.Interface.ReactionPostService|Вызван метод CreateAsync с параметрами: reactionPostViewModel: DomainModel.Entities.ViewModels.ReactionEntityViewModel |url: http://localhost/reactionpost|action: Create
2024-04-30 00:26:29.9619|0|TRACE|Goods.System.Social.Network.DAL.Repository.Realization.ReactionRepository|Вызван метод Create с параметрами: reaction: Goods.System.Social.Network.DomainModel.Entities.Reaction |url: http://localhost/reactionpost|action: Create
2024-04-30 00:26:29.9846|0|TRACE|Goods.System.Social.Network.DAL.Repository.Realization.ReactionRepository|Вызван метод GetAsync с параметрами: userId: 6, typeId: 1 |url: http://localhost/reactionpost|action: Create
2024-04-30 00:27:05.1883|0|TRACE|Goods.System.Social.Network.DomainServices.Interface.ReactionPostService|Вызван метод DeleteAsync с параметрами: reactionPostViewModel: DomainModel.Entities.ViewModels.ReactionEntityViewModel |url: http://localhost/reactionpost|action: Delete
2024-04-30 00:27:05.1883|0|TRACE|Goods.System.Social.Network.DAL.Repository.Realization.ReactionRepository|Вызван метод GetAsync с параметрами: userId: 6, typeId: 1 |url: http://localhost/reactionpost|action: Delete
2024-04-30 00:28:51.0422|0|TRACE|Goods.System.Social.Network.DomainServices.Interface.ReactionPostService|Вызван метод GetRatingForEntityAsync с параметрами: postId: 0 |url: http://localhost/reactionpost|action: Get
2024-04-30 00:29:39.0755|0|TRACE|Goods.System.Social.Network.DomainServices.Interface.ReactionPostService|Вызван метод CreateAsync с параметрами: reactionPostViewModel: DomainModel.Entities.ViewModels.ReactionEntityViewModel |url: http://localhost/reactionpost|action: Create
2024-04-30 00:29:39.0755|0|TRACE|Goods.System.Social.Network.DAL.Repository.Realization.ReactionRepository|Вызван метод Create с параметрами: reaction: Goods.System.Social.Network.DomainModel.Entities.Reaction |url: http://localhost/reactionpost|action: Create
2024-04-30 00:29:39.0889|0|TRACE|Goods.System.Social.Network.DAL.Repository.Realization.ReactionRepository|Вызван метод GetAsync с параметрами: userId: 6, typeId: 1 |url: http://localhost/reactionpost|action: Create
2024-04-30 00:30:41.8350|0|TRACE|Goods.System.Social.Network.DomainServices.Interface.ReactionPostService|Вызван метод DeleteAsync с параметрами: reactionPostViewModel: DomainModel.Entities.ViewModels.ReactionEntityViewModel |url: http://localhost/reactionpost|action: Delete
2024-04-30 00:30:41.8350|0|TRACE|Goods.System.Social.Network.DAL.Repository.Realization.ReactionRepository|Вызван метод GetAsync с параметрами: userId: 6, typeId: 1 |url: http://localhost/reactionpost|action: Delete
