2024-07-15 01:05:03.8021|0|DEBUG|Program|init main |url: |action: 
2024-07-15 01:05:06.4815|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5259 |url: |action: 
2024-07-15 01:05:06.4815|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2024-07-15 01:05:06.4815|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2024-07-15 01:05:06.4815|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\димон\Desktop\Я\РУСАЛ\SocialNet\SocialNetworkSystem\Goods.Social.Network\Goods.System.Social.Network.Microservice.Reaction |url: |action: 
2024-07-15 01:05:16.1611|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/chat|action: 
2024-07-15 01:06:22.3929|0|DEBUG|Program|init main |url: |action: 
2024-07-15 01:06:24.1011|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5259 |url: |action: 
2024-07-15 01:06:24.1011|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2024-07-15 01:06:24.1011|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2024-07-15 01:06:24.1011|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\димон\Desktop\Я\РУСАЛ\SocialNet\SocialNetworkSystem\Goods.Social.Network\Goods.System.Social.Network.Microservice.Reaction |url: |action: 
2024-07-15 01:06:28.4263|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/chat|action: 
2024-07-15 01:07:36.1617|0|DEBUG|Program|init main |url: |action: 
2024-07-15 01:07:37.5486|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5259 |url: |action: 
2024-07-15 01:07:37.5525|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2024-07-15 01:07:37.5525|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2024-07-15 01:07:37.5525|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\димон\Desktop\Я\РУСАЛ\SocialNet\SocialNetworkSystem\Goods.Social.Network\Goods.System.Social.Network.Microservice.Reaction |url: |action: 
