2024-07-04 19:30:46.8839|0|DEBUG|Program|init main |url: |action: 
2024-07-04 19:30:48.4344|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5037 |url: |action: 
2024-07-04 19:30:48.4417|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2024-07-04 19:30:48.4417|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2024-07-04 19:30:48.4417|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\димон\Desktop\Я\РУСАЛ\SocialNet\SocialNetworkSystem\Goods.Social.Network\Goods.System.Social.Network.Microservice.Posts |url: |action: 
2024-07-04 19:34:37.4613|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/api/Post|action: CreatePost
2024-07-04 19:34:38.3107|0|INFO|Goods.System.Social.Network.Microservice.Posts.Controllers.PostController|Вызван метод CreatePost |url: http://localhost/api/Post|action: CreatePost
2024-07-04 19:34:38.3290|0|TRACE|Goods.System.Social.Network.DomainServices.Realization.PostService|Вызван метод CreateAsync с параметрами: post: Goods.System.Social.Network.DomainModel.Entities.Post, image: Microsoft.AspNetCore.Http.FormFile |url: http://localhost/api/Post|action: CreatePost
2024-07-04 19:34:38.3535|0|TRACE|Goods.System.Social.Network.DAL.Repository.Realization.PostRepository|Вызван метод Create с параметрами: item: Goods.System.Social.Network.DomainModel.Entities.Post |url: http://localhost/api/Post|action: CreatePost
2024-07-04 19:34:39.5407|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: http://localhost/api/Post|action: CreatePost
2024-07-04 19:34:41.3631|0|TRACE|Goods.System.Social.Network.DAL.Repository.Realization.PostRepository|Вызван метод GetByUserAsync с параметрами: userId: 5 |url: http://localhost/api/Post|action: CreatePost
2024-07-04 19:34:42.1154|0|TRACE|Goods.System.Social.Network.DAL.Repository.Realization.ImagePostRepository|Вызван метод CreateAsync с параметрами: file: -, userId: 5, postId: 42 |url: http://localhost/api/Post|action: CreatePost
2024-07-04 19:34:42.1305|0|TRACE|Goods.System.Social.Network.DAL.Repository.Realization.ImagePostRepository|Вызван метод Get с параметрами: userId: 5, id: 42 |url: http://localhost/api/Post|action: CreatePost
2024-07-04 19:34:42.1305|0|TRACE|Goods.System.Social.Network.DAL.Repository.Realization.PostRepository|Вызван метод Update с параметрами: item: Goods.System.Social.Network.DomainModel.Entities.Post |url: http://localhost/api/Post|action: CreatePost
2024-07-04 19:34:42.1614|0|TRACE|Goods.System.Social.Network.DomainServices.Realization.UserService|Вызван метод GetAllAsync с параметрами: search: , numberPage: -1, id: 5, who: 1 |url: http://localhost/api/Post|action: CreatePost
2024-07-04 19:34:42.1614|0|TRACE|Goods.System.Social.Network.DAL.Repository.Realization.UserRepository|Вызван метод GetAllAsync |url: http://localhost/api/Post|action: CreatePost
2024-07-04 19:34:42.2442|0|TRACE|Goods.System.Social.Network.DAL.Repository.Realization.SubscribeRepository|Вызван метод GetCheckAsync с параметрами: id: 3, idFriend: 5 |url: http://localhost/api/Post|action: CreatePost
2024-07-04 19:34:42.2745|0|TRACE|Goods.System.Social.Network.DAL.Repository.Realization.SubscribeRepository|Вызван метод GetCheckAsync с параметрами: id: 4, idFriend: 5 |url: http://localhost/api/Post|action: CreatePost
2024-07-04 19:34:42.2875|0|TRACE|Goods.System.Social.Network.DAL.Repository.Realization.SubscribeRepository|Вызван метод GetCheckAsync с параметрами: id: 5, idFriend: 5 |url: http://localhost/api/Post|action: CreatePost
2024-07-04 19:34:42.2875|0|TRACE|Goods.System.Social.Network.DAL.Repository.Realization.SubscribeRepository|Вызван метод GetCheckAsync с параметрами: id: 6, idFriend: 5 |url: http://localhost/api/Post|action: CreatePost
2024-07-04 19:34:42.2875|0|TRACE|Goods.System.Social.Network.DAL.Repository.Realization.SubscribeRepository|Вызван метод GetCheckAsync с параметрами: id: 7, idFriend: 5 |url: http://localhost/api/Post|action: CreatePost
2024-07-04 19:34:42.2875|0|TRACE|Goods.System.Social.Network.DAL.Repository.Realization.SubscribeRepository|Вызван метод GetCheckAsync с параметрами: id: 8, idFriend: 5 |url: http://localhost/api/Post|action: CreatePost
